staff_id,first_name,last_name,role,department_id,email,phone,hire_date,salary
1,Christina,Jensen,Technician,6,christina.jensen@hospital.com,637-520-5176,2020-07-23,53115
2,Victor,Andrade,Nurse,11,victor.andrade@hospital.com,685-268-2494,2018-01-13,65001
3,Christopher,Reyes,Doctor,7,christopher.reyes@hospital.com,298-962-7105,2017-02-19,174439
4,Dawn,Robles,Nurse,1,dawn.robles@hospital.com,800-775-6400,2014-08-03,78231
5,Virginia,Stephens,Technician,7,virginia.stephens@hospital.com,562-881-7929,2011-02-22,54005
6,Patrick,Reeves,Technician,5,patrick.reeves@hospital.com,814-519-6761,2018-01-17,51685
7,Kimberly,Cooper,Doctor,9,kimberly.cooper@hospital.com,417-358-8900,2019-05-03,301497
8,Marc,Nelson,Nurse,2,marc.nelson@hospital.com,558-769-7022,2011-03-29,87763
9,Carla,Johnson,Doctor,5,carla.johnson@hospital.com,787-431-8030,2023-01-04,349912
10,Juan,Stokes,Administrative Staff,1,juan.stokes@hospital.com,823-873-5381,2017-12-04,58243
11,Michael,Silva,Doctor,5,michael.silva@hospital.com,919-980-6062,2014-05-05,197294
12,Erik,Wright,Nurse,1,erik.wright@hospital.com,385-346-7566,2014-06-20,71502
13,Amanda,Moody,Doctor,12,amanda.moody@hospital.com,848-231-2503,2021-11-27,187191
14,Kathryn,Gould,Technician,4,kathryn.gould@hospital.com,585-629-8432,2019-06-27,67382
15,Toni,Price,Nurse,6,toni.price@hospital.com,519-938-6314,2024-11-16,65157
16,Victoria,Thompson,Administrative Staff,2,victoria.thompson@hospital.com,253-359-3579,2014-05-26,59537
17,Louis,Rojas,Administrative Staff,11,louis.rojas@hospital.com,283-478-8259,2016-03-25,41630
18,Brittany,Warner,Technician,8,brittany.warner@hospital.com,821-652-7785,2016-02-15,63894
19,Ashley,Thomas,Nurse,13,ashley.thomas@hospital.com,724-316-6655,2025-01-28,67063
20,Mary,Cochran,Nurse,5,mary.cochran@hospital.com,894-894-8972,2025-05-28,63633
21,Amber,Thompson,Administrative Staff,1,amber.thompson@hospital.com,425-604-1897,2011-06-03,50106
22,Brian,Guzman,Doctor,5,brian.guzman@hospital.com,416-985-3248,2011-02-24,203588
23,Timothy,Rivera,Nurse,6,timothy.rivera@hospital.com,322-207-9149,2020-01-23,69484
24,Lindsay,Peterson,Technician,3,lindsay.peterson@hospital.com,332-589-9725,2013-07-06,64111
25,Leah,Oneill,Technician,9,leah.oneill@hospital.com,772-884-6802,2011-09-29,57540
26,Dylan,Bush,Doctor,14,dylan.bush@hospital.com,959-243-8147,2012-12-22,254089
27,Daniel,Fox,Doctor,2,daniel.fox@hospital.com,520-789-8033,2016-04-28,270521
28,Charles,Bush,Administrative Staff,12,charles.bush@hospital.com,855-627-5743,2020-10-12,53252
29,Brenda,Rogers,Doctor,1,brenda.rogers@hospital.com,532-375-8538,2015-09-09,256176
30,Theresa,Oconnor,Technician,2,theresa.oconnor@hospital.com,647-308-4986,2017-05-27,61857
31,Danielle,Freeman,Nurse,7,danielle.freeman@hospital.com,736-280-7484,2015-08-11,79296
32,Jasmine,Hoffman,Nurse,6,jasmine.hoffman@hospital.com,426-541-3754,2024-03-12,84438
33,Christina,Kelly,Doctor,11,christina.kelly@hospital.com,316-743-9355,2020-10-31,283820
34,Lisa,Gray,Nurse,13,lisa.gray@hospital.com,557-559-3419,2021-11-10,89685
35,Kelly,Thompson,Nurse,3,kelly.thompson@hospital.com,462-402-3842,2010-11-16,63368
36,Jacqueline,Berry,Administrative Staff,13,jacqueline.berry@hospital.com,977-871-2234,2023-08-12,45009
37,Kelli,Bradley,Nurse,11,kelli.bradley@hospital.com,705-675-8354,2013-07-31,85324
38,Lucas,Lamb,Technician,11,lucas.lamb@hospital.com,850-839-6295,2020-01-08,68497
39,Danielle,Garcia,Technician,3,danielle.garcia@hospital.com,650-269-8682,2018-04-17,60359
40,Mark,Miller,Nurse,5,mark.miller@hospital.com,481-805-1920,2016-01-20,80689
41,Luis,Fields,Nurse,2,luis.fields@hospital.com,517-672-8404,2025-04-18,76624
